configuration,model,dataset,population,recorded_dev_f1_100,question_count,status,accepted,native_llm_tokens_m,native_embedding_tokens_m,mean_question_e2e_seconds,usage_status,result_path,result_sha256
r01_events,Qwen/Qwen3-8B,LoCoMo,historical_dev70,37.37069690428824,70,completed_dev_comparison_audited,False,NA,NA,NA,not_recorded_in_available_historical_evidence,/workspace/locomo-refinement/runs/pilot100_v3/r01_events_dev_items.json,7d993f673c5fe9bbd420fe8ec97ea097f85980f39cbbc6db8a6de2b39c795c79
r02_audit,Qwen/Qwen3-8B,LoCoMo,historical_dev70,48.60159428097931,70,completed_dev_comparison_audited,True,NA,NA,NA,not_recorded_in_available_historical_evidence,/workspace/locomo-refinement/runs/pilot100_v3/r02_audit_dev_items.json,8d16d36d5d3084908cd821b1f0e0a84120f340fa190fb418f7c2c653acb0c135
r03_dialogue_residual,Qwen/Qwen3-8B,LoCoMo,historical_dev70,52.7942778998271,70,completed_dev_comparison_audited,True,NA,NA,NA,not_recorded_in_available_historical_evidence,/workspace/locomo-refinement/runs/pilot100_v3/r03_dialogue_residual_dev_items.json,57d8d5409a3d5b2d7e2a3b5e762776a17001284ee88575201a7dbf1c1640a509
r04_provenance_quotes,Qwen/Qwen3-8B,LoCoMo,historical_dev70,45.115990018827496,70,completed_dev_comparison_audited,False,NA,NA,NA,not_recorded_in_available_historical_evidence,/workspace/locomo-refinement/runs/pilot100_v3/r04_provenance_quotes_dev_items.json,31b84d23b9c35ffd9144c5136999fb50a1d4636bbb874c24daa05e972df65d2d
r05_calendar_anchor,Qwen/Qwen3-8B,LoCoMo,historical_dev70,54.38938124399948,70,completed_dev_comparison_audited,True,NA,NA,NA,not_recorded_in_available_historical_evidence,/workspace/locomo-refinement/runs/continuous_v3/r05_calendar_anchor_dev_items.json,7a4aa965131680f26d5042e6c78e65fece90a6f1db8cf42098e5d28cf2a0935e
r06_calendar_month,Qwen/Qwen3-8B,LoCoMo,historical_dev70,54.86010161911774,70,completed_dev_comparison_audited,True,NA,NA,NA,not_recorded_in_available_historical_evidence,/workspace/locomo-refinement/runs/continuous_v3/r06_calendar_month_dev_items.json,5cdbfa6b82e4a5ad69bf059059859bc3ecff57e0e903c8fd502cab3c3bcbe218
r07_nonoverlap_pairs,Qwen/Qwen3-8B,LoCoMo,historical_dev70,47.950327574446575,70,completed_dev_comparison_audited,False,NA,NA,NA,not_recorded_in_available_historical_evidence,/workspace/locomo-refinement/runs/continuous_v3/r07_nonoverlap_pairs_dev_items.json,e37a0eb12410c201642c9fb908b43fbcfe01fea018a857cc82e6938d58f5e08a
r08_three_turn_blocks,Qwen/Qwen3-8B,LoCoMo,historical_dev70,54.03612465759745,70,completed_dev_comparison_audited,False,NA,NA,NA,not_recorded_in_available_historical_evidence,/workspace/locomo-refinement/runs/continuous_v3/r08_three_turn_blocks_dev_items.json,76b35419d7a46245881a133ee3755bd4666ef257f5d36424454f121f4b7c6315
r09_four_turn_blocks,Qwen/Qwen3-8B,LoCoMo,historical_dev70,54.43755016217422,70,completed_dev_comparison_audited,False,NA,NA,NA,not_recorded_in_available_historical_evidence,/workspace/locomo-refinement/runs/continuous_v3/r09_four_turn_blocks_dev_items.json,8a3eea374aebc7fcf132fc0ba649253ec5efac71be9be80eba630397bf988e33
r10_anchor_current_best,Qwen/Qwen3-8B,LoCoMo,historical_dev70,54.86010161911774,70,completed_dev_comparison_audited,False,NA,NA,NA,not_recorded_in_available_historical_evidence,/workspace/locomo-refinement/runs/continuous_v3/r10_anchor_current_best_dev_items.json,7b4a57a0620fdd085b33d75ae0d0e2d4528429e6a8bb9bde30f194b6cf6c084d
r11_social_filter,Qwen/Qwen3-8B,LoCoMo,historical_dev70,51.72034314891458,70,completed_dev_comparison_audited,False,NA,NA,NA,not_recorded_in_available_historical_evidence,/workspace/locomo-refinement/runs/continuous_v3/r11_social_filter_dev_items.json,33d93400edd9a931532e7e4073ae799fffd52d69c26df0ab2fe6a8a9e09be0c0
