method,label,seconds,f1_percent,timing_scope,source
Mem0,Mem0,0.3200398810498126,36.49835852718084,saved_native_question_timer,results/locomo/mem0/mem0-final-report-50156979-r5.json
LangMem,LangMem,0.4096584146673029,29.932364233426622,saved_native_question_timer,results/locomo/langmem/langmem-final-report-50156979-r1.json
A-MEM,A-MEM,0.6904868276088268,36.845900352297015,saved_native_question_timer,amem_final_results_r26/amem-r26-latency-addendum-r1.json
SimpleMem,SimpleMem,13.778145232757964,38.189101665135425,saved_native_question_timer,simplemem-final-report-20260908-r25.json
E-Mem,E-Mem,36.39571874373919,56.95671313240028,saved_native_question_timer,results/locomo/emem/emem-final-report-50156979-r11.json
LightMem_official,LightMem,1.080323854039496,40.3261881368388,saved_retrieval_plus_answer_api_component_sum,upload_preparation_20260910/extracted_baseline_results/lightmem_official
seed,Seed,0.41379327631144264,56.25973274365339,observed_batch_amortized_llm_and_embedding_call_time,experiments\refinement_usage_20260909\CURRENT_METHODS.csv
r40_fused_four_turn,R40,0.38598140767932715,55.52237081573067,observed_batch_amortized_llm_and_embedding_call_time,experiments\refinement_usage_20260909\CURRENT_METHODS.csv
s_parent_single_2000,Our method,0.3032254652359051,55.52781350227676,observed_batch_amortized_llm_and_embedding_call_time,experiments\refinement_usage_20260909\CURRENT_METHODS.csv
recursive_source_rehearsal_v1,Recursive v1,0.36253908304164983,55.85601543689559,observed_batch_amortized_llm_and_embedding_call_time,experiments\refinement_usage_20260909\CURRENT_METHODS.csv
