reader,id,conv_id,category,question,gold,prediction,official_f1,finish_reason,read_tokens,input_tokens,output_tokens,generation_cache_key
legacy,conv-26:0,conv-26,2,When did Caroline go to the LGBTQ support group?,7 May 2023,7 May 2023,1.0,stop,2029,2140,8,20afa54db76de3977674301ac23204101cd255b133d0d389d29f26dbab8b9130
legacy,conv-26:4,conv-26,1,What is Caroline's identity?,Transgender woman,trans,0.0,stop,2030,2137,2,23e16228c222bc56465a6ae3fb5d6741ddb02dba5b31bcdd9afa50b02da90b44
legacy,conv-26:20,conv-26,2,When did Melanie go to the museum?,5 July 2023,5 July 2023,1.0,stop,2031,2140,8,897cf729167f6190d37d4830decae145e734c965a35772a5dd93bdbe0c521a31
legacy,conv-26:27,conv-26,3,Would Caroline pursue writing as a career option?,"LIkely no; though she likes reading, she wants to be a counselor",unknown,0.0,stop,2031,2141,2,4dba490350fcf1aab4211902272cfef3e0c29e2c15352e825ee786e683e08c46
legacy,conv-26:32,conv-26,1,What LGBTQ+ events has Caroline participated in?,"Pride parade, school speech, support group","LGBTQ conference, LGBTQ support group, LGBTQ+ counseling workshop, LGBTQ activist group, LGBTQ art show",0.26666666666666666,stop,2027,2137,22,5e973a72f736a75ed7430942782fac8da8497c43e61c514b34192e86196b532d
legacy,conv-26:35,conv-26,2,When did Melanie go camping in July?,two weekends before 17 July 2023,"17 July 2023, 6 July 2023, 15 July 2023, 20 July 2023",0.3333333333333333,stop,2048,2157,38,d7c5ebe6b30c5876d28262d06f9d551ab88c408aa68c96edbff1fcb02805237f
legacy,conv-26:60,conv-26,1,What instruments does Melanie play?,clarinet and violin,"clarinet, violin",0.6666666666666666,stop,2048,2155,5,db148868e0713fada2a8f107a21aa2c31c27919cd0f69581e45daa4a57a68d6a
legacy,conv-26:62,conv-26,2,When did Melanie go to the park?,27 August 2023,27 August 2023,1.0,stop,2025,2134,9,6986d4f5d74d1ed12b9d78ce3d2efe2e3e8eeb3cf05433de1a24dbdb687a8553
legacy,conv-26:68,conv-26,2,How long has Melanie been practicing art?,Since 2016,Seven years,0.0,stop,2048,2157,3,78d5b3fda4ecff7a1c1e84363bc8f285837125eb26b82629a2ad92ee5a3ab8e9
legacy,conv-26:69,conv-26,3,What personality traits might Melanie say Caroline has?,"Thoughtful, authentic, driven",Courageous,0.0,stop,2044,2154,4,7c37715723ec58007d7b52c1038216b3fed1f4aef6ede017140562cf6cce0ecd
