configuration,family,description_ko,model,population,n,f1_100,recorded_role,accepted,result_path,result_sha256
"r00_session10","초기 추출","대화 세션 전체를 읽고 세션당 최대 10개 사실을 추출하는 시작 기준. 이름의 10은 턴 수가 아님.","Qwen/Qwen3-8B","historical_dev70","70","47.555170281278656","초기 기준","true","/workspace/locomo-refinement/runs/pilot100_v3/r00_session10_dev_items.json","8ed661ace9cd9d315c9af52865a2abf6840e04d4ff7d077cfacd03c8267eb0f0"
"r01_events","초기 추출","사실을 사건 중심 메모리로 구성하는 대안.","Qwen/Qwen3-8B","historical_dev70","70","37.37069690428824","미채택","false","/workspace/locomo-refinement/runs/pilot100_v3/r01_events_dev_items.json","7d993f673c5fe9bbd420fe8ec97ea097f85980f39cbbc6db8a6de2b39c795c79"
"r02_audit","초기 추출","기존 메모리를 원문과 대조해 빠진 사실을 보강.","Qwen/Qwen3-8B","historical_dev70","70","48.60159428097931","개선 채택","true","/workspace/locomo-refinement/runs/pilot100_v3/r02_audit_dev_items.json","8d16d36d5d3084908cd821b1f0e0a84120f340fa190fb418f7c2c653acb0c135"
"r03_dialogue_residual","초기 추출","추출 메모리에 원문 대화 블록을 추가해 요약에서 누락되는 정보 보존.","Qwen/Qwen3-8B","historical_dev70","70","52.7942778998271","개선 채택","true","/workspace/locomo-refinement/runs/pilot100_v3/r03_dialogue_residual_dev_items.json","57d8d5409a3d5b2d7e2a3b5e762776a17001284ee88575201a7dbf1c1640a509"
"r04_provenance_quotes","초기 추출","사실과 이를 뒷받침하는 원문 인용을 함께 묶어 메모리 구성.","Qwen/Qwen3-8B","historical_dev70","70","45.115990018827496","미채택","false","/workspace/locomo-refinement/runs/pilot100_v3/r04_provenance_quotes_dev_items.json","31b84d23b9c35ffd9144c5136999fb50a1d4636bbb874c24daa05e972df65d2d"
"r05_calendar_anchor","날짜 처리","대화 기록일을 기준으로 상대 날짜 표현을 달력 날짜로 정규화.","Qwen/Qwen3-8B","historical_dev70","70","54.38938124399948","개선 채택","true","/workspace/locomo-refinement/runs/continuous_v3/r05_calendar_anchor_dev_items.json","7a4aa965131680f26d5042e6c78e65fece90a6f1db8cf42098e5d28cf2a0935e"
"r06_calendar_month","날짜 처리","월 단위 해석을 포함한 날짜 정규화 변형. 선택된 최종 전처리.","Qwen/Qwen3-8B","historical_dev70","70","54.86010161911774","개선 채택","true","/workspace/locomo-refinement/runs/continuous_v3/r06_calendar_month_dev_items.json","5cdbfa6b82e4a5ad69bf059059859bc3ecff57e0e903c8fd502cab3c3bcbe218"
"r07_nonoverlap_pairs","원문 블록","겹치지 않는 2턴 대화 블록.","Qwen/Qwen3-8B","historical_dev70","70","47.950327574446575","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r07_nonoverlap_pairs_dev_items.json","e37a0eb12410c201642c9fb908b43fbcfe01fea018a857cc82e6938d58f5e08a"
"r08_three_turn_blocks","원문 블록","3턴 대화 블록으로 메모리 단위 변경.","Qwen/Qwen3-8B","historical_dev70","70","54.03612465759745","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r08_three_turn_blocks_dev_items.json","76b35419d7a46245881a133ee3755bd4666ef257f5d36424454f121f4b7c6315"
"r09_four_turn_blocks","원문 블록","4턴 대화 블록으로 메모리 단위 변경.","Qwen/Qwen3-8B","historical_dev70","70","54.43755016217422","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r09_four_turn_blocks_dev_items.json","8a3eea374aebc7fcf132fc0ba649253ec5efac71be9be80eba630397bf988e33"
"r10_anchor_current_best","날짜 처리","당시 최고 후보에 날짜 정규화 적용.","Qwen/Qwen3-8B","historical_dev70","70","54.86010161911774","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r10_anchor_current_best_dev_items.json","7b4a57a0620fdd085b33d75ae0d0e2d4528429e6a8bb9bde30f194b6cf6c084d"
"r11_social_filter","사교 표현 필터","감사·축하·격려 등의 상투적인 사실 기록을 필터링.","Qwen/Qwen3-8B","historical_dev70","70","51.72034314891458","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r11_social_filter_dev_items.json","33d93400edd9a931532e7e4073ae799fffd52d69c26df0ab2fe6a8a9e09be0c0"
"r12_filter_current_best","사교 표현 필터","당시 최고 후보에 상투적인 사교 사실 필터 적용. 최종 계보에 채택.","Qwen/Qwen3-8B","historical_dev70","70","57.11886887725268","개선 채택","true","/workspace/locomo-refinement/runs/continuous_v3/r12_filter_current_best_dev_items.json","ba0db4e57d4ff48d09f4e90140b5baabd7d7bfeb769c478ae1f8f91b32361489"
"r13_extractive_cards","사실·QA 카드","출처에 근거한 추출형 카드 표현.","Qwen/Qwen3-8B","historical_dev70","70","41.655509780462346","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r13_extractive_cards_dev_items.json","5ec7432339ab4ff2d05381a9212b0238d697a8fd65a881c612f1e0186579a02b"
"r14_anchored_cards","사실·QA 카드","추출형 카드에 날짜 정규화 적용.","Qwen/Qwen3-8B","historical_dev70","70","42.318209118886706","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r14_anchored_cards_dev_items.json","198ed558344851a8732b44d0866e66c2b27f0291b112e98d8c3f3102bf4bb230"
"r15_cards_with_pairs","사실·QA 카드","추출형 카드와 2턴 원문 문맥 조합.","Qwen/Qwen3-8B","historical_dev70","70","46.47100717197154","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r15_cards_with_pairs_dev_items.json","287a4e55250bc7dd87a3475dc4dfd34b0603c785c2097348eeaf45d2dc7a2b18"
"r16_declarative_facts","사실·QA 카드","독립적인 서술문 형태의 사실 기록.","Qwen/Qwen3-8B","historical_dev70","70","42.51163574282778","미채택","false","/workspace/locomo-refinement/runs/continuous_v3/r16_declarative_facts_dev_items.json","365a9a170de2412677045f47ac7aa04782820d70e421501a9bc29d1d2031e8f4"
