"id","conversation","qa_index","category","question","gold","our_answer","no_binding_answer","our_f1_pct","no_binding_f1_pct","delta_pp","our_read_tokens","no_binding_read_tokens","our_stored_tokens","no_binding_stored_tokens","no_binding_finish_reason"
"conv-26:0","conv-26","0","2","When did Caroline go to the LGBTQ support group?","7 May 2023","7 May 2023","7 May 2023","100","100","0","1977","2029","47283","46030","stop"
"conv-26:1","conv-26","1","2","When did Melanie paint a sunrise?","2022","2022","2022","100","100","0","2028","2037","47283","46030","stop"
"conv-26:2","conv-26","2","3","What fields would Caroline be likely to pursue in her educaton?","Psychology, counseling certification","counseling, mental health","counseling, mental health","33.33333333333333","33.33333333333333","0","2021","2037","47283","46030","stop"
"conv-26:3","conv-26","3","1","What did Caroline research?","Adoption agencies","counseling and mental health","adoption agencies","0","100","100","1950","2026","47283","46030","stop"
"conv-26:4","conv-26","4","1","What is Caroline's identity?","Transgender woman","Trans woman","trans","50","0","-50","1952","2030","47283","46030","stop"
"conv-26:5","conv-26","5","2","When did Melanie run a charity race?","The sunday before 25 May 2023","24 May 2023","24 May 2023","50","50","0","2012","2047","47283","46030","stop"
"conv-26:6","conv-26","6","2","When is Melanie planning on going camping?","June 2023","next month","Next month (from 25 May 2023)","0","25","25","1943","2029","47283","46030","stop"
"conv-26:7","conv-26","7","1","What is Caroline's relationship status?","Single","Unknown","Unknown","0","0","0","2042","2025","47283","46030","stop"
"conv-26:8","conv-26","8","2","When did Caroline give a speech at a school?","The week before 9 June 2023","29 May 2023 to 4 June 2023","unknown","33.33333333333333","0","-33.33333333333333","1982","2026","47283","46030","stop"
"conv-26:9","conv-26","9","2","When did Caroline meet up with her friends, family, and mentors?","The week before 9 June 2023","29 May 2023 to 4 June 2023","29 May 2023 to 4 June 2023","33.33333333333333","33.33333333333333","0","1986","2047","47283","46030","stop"
"conv-26:10","conv-26","10","2","How long has Caroline had her current group of friends for?","4 years","4 years","4 years","100","100","0","1941","2047","47283","46030","stop"
"conv-26:11","conv-26","11","1","Where did Caroline move from 4 years ago?","Sweden","unknown","unknown","0","0","0","2037","2048","47283","46030","stop"
"conv-26:12","conv-26","12","2","How long ago was Caroline's 18th birthday?","10 years ago","approximately 2013","approximately 2013","0","0","0","1989","2036","47283","46030","stop"
"conv-26:13","conv-26","13","1","What career path has Caroline decided to persue?","counseling or mental health for Transgender people","counseling and mental health","counseling and mental health","60","60","0","1997","2039","47283","46030","stop"
"conv-26:14","conv-26","14","3","Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?","Likely no","unknown","unknown","0","0","0","1986","2047","47283","46030","stop"
"conv-26:15","conv-26","15","1","What activities does Melanie partake in?","pottery, camping, painting, swimming","pottery, hiking, exploring forests, camping","running, reading, playing violin, pottery, hiking, camping","50","50","0","1939","2048","47283","46030","stop"
"conv-26:16","conv-26","16","2","When did Melanie sign up for a pottery class?","2 July 2023","2 July 2023","2 July 2023","100","100","0","1950","2031","47283","46030","stop"
"conv-26:17","conv-26","17","2","When is Caroline going to the transgender conference?","July 2023","This month (July 2023)","July 2023","66.66666666666666","100","33.333333333333336","2027","2041","47283","46030","stop"
"conv-26:18","conv-26","18","1","Where has Melanie camped?","beach, mountains, forest","beach, forest","beach, forest, mountains","66.66666666666666","100","33.333333333333336","2045","2031","47283","46030","stop"
