method,label,questions,f1_percent,llm_tokens,llm_tokens_m,group,cost_status,main_table,token_source,token_definition,score_source,frontier_main,frontier_all
Naive,Full-context reference,1540,55.16889966272199,54106911,54.106911,reference,reported,True,certmem_primary_results_r1/primary_results_summary.md,Full-context input + output tokens,outputs\locomo_comparability_audit_20260911\scores_audit.json,False,False
Mem0,Mem0,1540,36.49835852718084,27370629,27.370629,baseline,reported,True,results/locomo/mem0/mem0-final-report-50156979-r5.json,usage.by_request_kind.chat_completion.total_tokens,outputs\locomo_comparability_audit_20260911\scores_audit.json,False,False
A-MEM,A-MEM,1540,36.845900352297015,27285662,27.285662,baseline,reported,True,amem_final_results_r26/results_summary.md,Reported LLM input + output tokens,outputs\locomo_comparability_audit_20260911\scores_audit.json,False,False
LangMem,LangMem,1540,29.932364233426622,25942379,25.942379,baseline,reported,True,results/locomo/langmem/langmem-final-report-50156979-r1.json,usage.by_request_kind.chat_completion.total_tokens,outputs\locomo_comparability_audit_20260911\scores_audit.json,False,False
SimpleMem,SimpleMem,1540,38.189101665135425,19777906,19.777906,baseline,reported,True,simplemem-final-report-20260908-r25.json,usage.by_request_kind.chat_completion.total_tokens,outputs\locomo_comparability_audit_20260911\scores_audit.json,False,False
LightMem_official,LightMem (official),1540,40.3261881368388,5300706,5.300706,baseline,reported,True,results/comparisons/all_methods_20260909/lightmem_official/FINAL_METRICS.json,selected_build_and_qa_usage.total_tokens,outputs\locomo_comparability_audit_20260911\scores_audit.json,True,False
HiGMem,HiGMem,1540,40.33310246213628,38514830,38.51483,baseline,lower_bound,True,results/locomo/higmem/higmem-final-report-20260907.json,server_tokens.construction.total_tokens + server_tokens.qa.total_tokens; directory ledger includes prior invocations/retries; failed requests not fully metered,outputs\locomo_comparability_audit_20260911\scores_audit.json,False,False
E-Mem,E-Mem,1540,56.95671313240028,60802774,60.802774,baseline,lower_bound,True,results/locomo/emem/emem-final-report-50156979-r11.json,usage.by_request_kind.chat_completion.total_tokens; one request unmetered; includes metered failed attempts,outputs\locomo_comparability_audit_20260911\scores_audit.json,True,True
s_parent_single_2000,Our method,1540,55.52781350227676,10356854,10.356854,ours,derived,True,experiments\refinement_usage_20260909\reports\current_verified\USAGE_REPORT.json,831791 seed build + 795965 source QA + 5445573 utility + 3283525 logical reader (including cache reuse),outputs\locomo_comparability_audit_20260911\scores_audit.json,True,False
LightMem_pipeline,LightMem (pipeline),1540,46.59538136054213,5582404,5.582404,variant,reported,False,results/locomo/lightmem/lightmem-final-report-20260907.json,usage.by_request_kind.chat_completion.total_tokens,outputs\locomo_comparability_audit_20260911\scores_audit.json,False,False
LightMem_direct,LightMem (direct),1540,38.20058494727273,15267609,15.267609,variant,reported,False,results/locomo/lightmem_direct/report.json,usage.by_request_kind.chat_completion.total_tokens,outputs\locomo_comparability_audit_20260911\scores_audit.json,False,False
CertMem_v15,CertMem v15,1540,42.22614403935332,27163164,27.163164,variant,reported,False,certmem_primary_results_r1/primary_results_summary.md,Reported full/certified LLM input + output tokens,outputs\locomo_comparability_audit_20260911\scores_audit.json,False,False
recursive_source_rehearsal_v1,Recursive v1,1540,55.85601543689559,13149892,13.149892,internal,derived,False,experiments\refinement_usage_20260909\reports\current_verified\USAGE_REPORT.json,7073329 shared preparation + 2779047 recursive preparation + 3297516 logical reader,outputs\locomo_comparability_audit_20260911\scores_audit.json,False,False
seed,Seed,1540,56.25973274365339,4153930,4.15393,internal,derived,False,experiments/refinement_usage_20260909/reports/current_verified/USAGE_REPORT.json,831791 seed build + 3322139 logical reader; source QA / utility not required,outputs\locomo_comparability_audit_20260911\scores_audit.json,False,True
r40_fused_four_turn,R40,1540,55.52237081573067,4112703,4.112703,internal,derived,False,experiments/refinement_usage_20260909/reports/current_verified/USAGE_REPORT.json,831791 seed build + 3280912 logical reader; deterministic r06/r12/r40 transformations require no additional LLM generation,outputs\locomo_comparability_audit_20260911\scores_audit.json,False,True
