method,question_id,f1_100,snapshot_note
"qwen_embedding_seed","cc6d1ec1","40","old_DEV12"
"qwen_embedding_seed","157a136e","100","old_DEV12"
"qwen_embedding_seed","e4e14d04","0","old_DEV12"
"qwen_embedding_seed","e6041065","0","old_DEV12"
"qwen_embedding_seed","d6062bb9","100","old_DEV12"
"qwen_embedding_seed","gpt4_b5700ca9","0","old_DEV12"
"qwen_embedding_seed","118b2229","100","old_DEV12"
"qwen_embedding_seed","27016adc","100","old_DEV12"
"qwen_embedding_seed","8cf51dda","63.41463414634146","old_DEV12"
"qwen_embedding_seed","41275add","57.14285714285714","old_DEV12"
"qwen_embedding_seed","4baee567","22.22222222222222","old_DEV12"
"qwen_embedding_seed","gpt4_7de946e7","100","old_DEV12"
"qwen_embedding_r40","cc6d1ec1","40","old_DEV12"
"qwen_embedding_r40","157a136e","0","old_DEV12"
"qwen_embedding_r40","e4e14d04","100","old_DEV12"
"qwen_embedding_r40","e6041065","0","old_DEV12"
"qwen_embedding_r40","d6062bb9","0","old_DEV12"
"qwen_embedding_r40","gpt4_b5700ca9","0","old_DEV12"
"qwen_embedding_r40","118b2229","100","old_DEV12"
"qwen_embedding_r40","27016adc","0","old_DEV12"
"qwen_embedding_r40","8cf51dda","63.41463414634146","old_DEV12"
"qwen_embedding_r40","41275add","62.5","old_DEV12"
"qwen_embedding_r40","4baee567","22.22222222222222","old_DEV12"
"qwen_embedding_r40","gpt4_7de946e7","100","old_DEV12"
"qwen_embedding_refined","cc6d1ec1","40","old_DEV12"
"qwen_embedding_refined","157a136e","0","old_DEV12"
"qwen_embedding_refined","e4e14d04","100","old_DEV12"
"qwen_embedding_refined","e6041065","0","old_DEV12"
"qwen_embedding_refined","d6062bb9","0","old_DEV12"
"qwen_embedding_refined","gpt4_b5700ca9","0","old_DEV12"
"qwen_embedding_refined","118b2229","100","old_DEV12"
"qwen_embedding_refined","27016adc","0","old_DEV12"
"qwen_embedding_refined","8cf51dda","63.41463414634146","old_DEV12"
"qwen_embedding_refined","41275add","62.5","old_DEV12"
"qwen_embedding_refined","4baee567","22.22222222222222","old_DEV12"
"qwen_embedding_refined","gpt4_7de946e7","100","old_DEV12"
"gemma_embedding_seed","cc6d1ec1","0","old_DEV12"
"gemma_embedding_seed","157a136e","0","old_DEV12"
"gemma_embedding_seed","e4e14d04","0","old_DEV12"
"gemma_embedding_seed","e6041065","0","old_DEV12"
"gemma_embedding_seed","d6062bb9","40","old_DEV12"
"gemma_embedding_seed","gpt4_b5700ca9","100","old_DEV12"
"gemma_embedding_seed","118b2229","100","old_DEV12"
"gemma_embedding_seed","27016adc","0","old_DEV12"
"gemma_embedding_seed","8cf51dda","63.41463414634146","old_DEV12"
"gemma_embedding_seed","41275add","80.95238095238095","old_DEV12"
"gemma_embedding_seed","4baee567","20","old_DEV12"
"gemma_embedding_seed","gpt4_7de946e7","100","old_DEV12"
"gemma_embedding_r40","cc6d1ec1","40","old_DEV12"
"gemma_embedding_r40","157a136e","0","old_DEV12"
"gemma_embedding_r40","e4e14d04","0","old_DEV12"
"gemma_embedding_r40","e6041065","0","old_DEV12"
"gemma_embedding_r40","d6062bb9","28.57142857142857","old_DEV12"
"gemma_embedding_r40","gpt4_b5700ca9","100","old_DEV12"
"gemma_embedding_r40","118b2229","100","old_DEV12"
"gemma_embedding_r40","27016adc","0","old_DEV12"
"gemma_embedding_r40","8cf51dda","63.41463414634146","old_DEV12"
"gemma_embedding_r40","41275add","62.5","old_DEV12"
