"method","label","n","f1_percent","judge_model","judge_correct","judge_n","judge_accuracy_percent","multi_hop_f1","temporal_f1","open_domain_f1","single_hop_f1","llm_tokens","token_status","token_scope","query_seconds","time_scope","score_source"
"seed","우리 Seed","1540","56.25973274365339","","","","","46.079979797211976","41.76246045404925","13.565051800622316","70.08018946944459","4153930","derived","831791 seed build + 3322139 logical reader; source QA / utility not required","0.41379327631144264","observed_batch_amortized_llm_and_embedding_call_time","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"r40_fused_four_turn","우리 r40","1540","55.52237081573067","","","","","39.683696559470825","49.70309717973269","14.091699345124306","67.78377086162702","4112703","derived","831791 seed build + 3280912 logical reader; deterministic r06/r12/r40 transformations require no additional LLM generation","0.38598140767932715","observed_batch_amortized_llm_and_embedding_call_time","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"s_parent_single_2000","우리 Refined (Our method)","1540","55.52781350227676","gpt-4o-mini-2024-07-18","1120","1540","72.72727272727273","38.12924297640507","50.64368653153699","15.576086436905765","67.7865143871506","10356854","derived","831791 seed build + 795965 source QA + 5445573 utility + 3283525 logical reader (including cache reuse)","0.3032254652359051","observed_batch_amortized_llm_and_embedding_call_time","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"recursive_source_rehearsal_v1","우리 Recursive v1","1540","55.85601543689559","","","","","38.75793974681916","50.483275810378615","16.0137463299228","68.18795907421175","13149892","derived","7073329 shared preparation + 2779047 recursive preparation + 3297516 logical reader","0.36253908304164983","observed_batch_amortized_llm_and_embedding_call_time","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"seed_parent","우리 Seed-parent","1540","56.168204553547895","","","","","46.69662432233637","42.338609815245334","13.515613382373019","69.49155091339281","","incomplete_total","Incremental new reader only. Construction and source utility are imported, not zero.","0.4832801196668831","incremental_reader_evaluation_timer","migration_20260910/pilot_runs/seed_parent_locomo_qwen35_minilm_r2/LOCAL_RESULT_VERIFIED.json"
"Naive","Full-context","1540","55.16889966272199","gpt-4o-mini-2024-07-18","1099","1540","71.36363636363636","41.76923255814074","36.24295918688442","15.658525159567796","71.39592578464658","54106911","reported","Full-context input + output tokens","","","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"E-Mem","E-Mem","1540","56.95671313240028","gpt-4o-mini-2024-07-18","1188","1540","77.14285714285714","44.87178715697641","54.66652704695585","30.637433663785835","64.88744997839812","60802774","lower_bound","usage.by_request_kind.chat_completion.total_tokens; one request unmetered; includes metered failed attempts","36.39571874373919","saved_native_question_timer","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"LightMem_official","LightMem official","1540","40.3261881368388","gpt-4o-mini-2024-07-18","1008","1540","65.45454545454545","31.97325052545688","44.848735549670124","16.74082231337158","44.09311537339492","5300706","reported","selected_build_and_qa_usage.total_tokens","1.080323854039496","saved_retrieval_plus_answer_api_component_sum","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"HiGMem","HiGMem","1540","40.33310246213628","gpt-4o-mini-2024-07-18","860","1540","55.84415584415584","27.948019220342875","26.39723896733242","12.702605034458388","52.95918261561412","38514830","lower_bound","server_tokens.construction.total_tokens + server_tokens.qa.total_tokens; directory ledger includes prior invocations/retries; failed requests not fully metered","","","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"SimpleMem","SimpleMem","1540","38.189101665135425","gpt-4o-mini-2024-07-18","842","1540","54.675324675324674","29.572075481751497","24.86572080923373","23.328642017926118","47.86022029128383","19777906","reported","usage.by_request_kind.chat_completion.total_tokens","13.778145232757964","saved_native_question_timer","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"A-MEM","A-MEM","1540","36.845900352297015","gpt-4o-mini-2024-07-18","799","1540","51.883116883116884","28.984580786996172","29.08795833702878","17.427261836717523","44.65967062793502","27285662","reported","Reported LLM input + output tokens","0.6904868276088268","saved_native_question_timer","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"Mem0","Mem0","1540","36.49835852718084","gpt-4o-mini-2024-07-18","839","1540","54.48051948051948","37.582997073597305","13.290807496414974","24.532625862412786","46.358603647994315","27370629","reported","usage.by_request_kind.chat_completion.total_tokens","0.3200398810498126","saved_native_question_timer","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"LangMem","LangMem","1540","29.932364233426622","gpt-4o-mini-2024-07-18","644","1540","41.81818181818182","28.373147268778983","27.27176568612841","21.654576012888082","32.41562105493086","25942379","reported","usage.by_request_kind.chat_completion.total_tokens","0.4096584146673029","saved_native_question_timer","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"LightMem_pipeline","LightMem pipeline","1540","46.59538136054213","","","","","42.00997162268821","34.35600432475523","24.31321627816917","55.34807270711786","5582404","reported","usage.by_request_kind.chat_completion.total_tokens","","","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"LightMem_direct","LightMem direct","1540","38.20058494727273","","","","","36.48820155123694","22.70954364440332","24.668670751260038","46.23219034408652","15267609","reported","usage.by_request_kind.chat_completion.total_tokens","","","outputs/locomo_comparability_audit_20260911/scores_audit.json"
"CertMem_v15","CertMem v15","1540","42.22614403935332","","","","","26.932271104256923","34.969117071920806","9.92205893521683","53.81183963298012","27163164","reported","Reported full/certified LLM input + output tokens","","","outputs/locomo_comparability_audit_20260911/scores_audit.json"
