id,method,category,question,gold_answer,generated_answer,official_f1,judge_label
A-MEM/conv-26:0,A-MEM,2,When did Caroline go to the LGBTQ support group?,7 May 2023,"Yesterday (relative to Session 1 on May 8, 2023).",0.3333333333333333,CORRECT
SimpleMem/conv-26:0,SimpleMem,2,When did Caroline go to the LGBTQ support group?,7 May 2023,"May 8, 2023",0.6666666666666666,WRONG
LightMem_official/conv-26:0,LightMem_official,2,When did Caroline go to the LGBTQ support group?,7 May 2023,08 May 2023,0.6666666666666666,WRONG
Naive/conv-26:1,Naive,2,When did Melanie paint a sunrise?,2022,last year,0.0,CORRECT
A-MEM/conv-26:1,A-MEM,2,When did Melanie paint a sunrise?,2022,Last year.,0.0,CORRECT
LangMem/conv-26:1,LangMem,2,When did Melanie paint a sunrise?,2022,Last year,0.0,CORRECT
LightMem_official/conv-26:1,LightMem_official,2,When did Melanie paint a sunrise?,2022,Last year (before May 2023),0.0,CORRECT
HiGMem/conv-26:1,HiGMem,2,When did Melanie paint a sunrise?,2022,last year,0.0,CORRECT
Naive/conv-26:2,Naive,3,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",counseling or working in mental health,0.2222222222222222,CORRECT
Mem0/conv-26:2,Mem0,3,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",Counseling and mental health,0.3333333333333333,CORRECT
A-MEM/conv-26:2,A-MEM,3,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",Counseling and mental health.,0.3333333333333333,CORRECT
LangMem/conv-26:2,LangMem,3,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",Counseling and mental health,0.3333333333333333,CORRECT
SimpleMem/conv-26:2,SimpleMem,3,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",Art and counseling,0.4,CORRECT
LightMem_official/conv-26:2,LightMem_official,3,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification","Counseling, mental health, and art.",0.28571428571428575,CORRECT
HiGMem/conv-26:2,HiGMem,3,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",counseling and mental health,0.3333333333333333,CORRECT
E-Mem/conv-26:2,E-Mem,3,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification","Counseling and mental health, specifically working with trans people.",0.18181818181818182,CORRECT
s_parent_single_2000/conv-26:2,s_parent_single_2000,3,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification","counseling, mental health",0.3333333333333333,CORRECT
A-MEM/conv-26:4,A-MEM,1,What is Caroline's identity?,Transgender woman,"Caroline is a woman who values freedom, authenticity, and embracing her womanhood.",0.25,CORRECT
LightMem_official/conv-26:4,LightMem_official,1,What is Caroline's identity?,Transgender woman,Caroline is a trans woman.,0.3333333333333333,CORRECT
s_parent_single_2000/conv-26:4,s_parent_single_2000,1,What is Caroline's identity?,Transgender woman,Trans,0.0,CORRECT
LightMem_official/conv-26:5,LightMem_official,2,When did Melanie run a charity race?,The sunday before 25 May 2023,25 May 2023 (last Saturday),0.6,WRONG
Naive/conv-26:6,Naive,2,When is Melanie planning on going camping?,June 2023,next month,0.0,CORRECT
Mem0/conv-26:6,Mem0,2,When is Melanie planning on going camping?,June 2023,Next month,0.0,CORRECT
A-MEM/conv-26:6,A-MEM,2,When is Melanie planning on going camping?,June 2023,"Next month (after May 25, 2023).",0.25,CORRECT
LangMem/conv-26:6,LangMem,2,When is Melanie planning on going camping?,June 2023,Next month,0.0,CORRECT
SimpleMem/conv-26:6,SimpleMem,2,When is Melanie planning on going camping?,June 2023,Next month,0.0,CORRECT
HiGMem/conv-26:6,HiGMem,2,When is Melanie planning on going camping?,June 2023,next month,0.0,CORRECT
s_parent_single_2000/conv-26:6,s_parent_single_2000,2,When is Melanie planning on going camping?,June 2023,next month,0.0,CORRECT
LangMem/conv-26:7,LangMem,1,What is Caroline's relationship status?,Single,Unmarried,0.0,CORRECT
